Species,Treatment,Energy,Energy (400-500),Energy (500-600),Energy (600-700),Energy (700-800),PFD,PFD (400-500),PFD (500-600),PFD (600-700),PFD (700-800),CO2 ave,CO2 std,T ave,T std,RH ave,RH std,Photoperiod (h),Day,Fresh Mass (g),Dry Mass (g)
Rex,B30R150,35.92155171,0.222923724,0.003072043,0.769219879,0.004784355,182.9495605,0.163897842,0.002812367,0.827562911,0.005726881,407,38,23,1,40,14,24,12,0.74502,0.046485
Rex,B30R150FR30,41.38834881,0.211504317,0.002960325,0.657234379,0.12830098,215.0823587,0.152408527,0.002651517,0.694677192,0.150262763,407,38,23,1,40,14,24,12,0.79076,0.05001
Rex,R180FR30,37.75633311,0.001244217,0.002513201,0.855502341,0.140740241,210.3610123,0.000838401,0.002163328,0.843274392,0.15372388,407,38,23,1,40,14,24,12,0.76661,0.0399
Rex,B90R90,40.51913926,0.585138587,0.004305204,0.407028479,0.003527731,180.7209008,0.491218291,0.004349866,0.499572188,0.004859656,407,38,23,1,40,14,24,12,0.61188,0.03853
Rex,B90R90FR30,46.11246622,0.525519279,0.003828981,0.352651571,0.118000169,213.8731614,0.424177983,0.003714942,0.417361653,0.154745422,407,38,23,1,40,14,24,12,0.86927,0.05502
Rex,B180FR30,54.3060112,0.888674252,0.005081385,0.00928607,0.096958293,216.9915172,0.8335058,0.005602219,0.013206662,0.14768532,407,38,23,1,40,14,24,12,0.55395,0.04082
Cherokee,B30R150,35.92155171,0.222923724,0.003072043,0.769219879,0.004784355,182.9495605,0.163897842,0.002812367,0.827562911,0.005726881,407,38,23,1,40,14,24,12,0.74412,0.0464
Cherokee,B30R150FR30,41.38834881,0.211504317,0.002960325,0.657234379,0.12830098,215.0823587,0.152408527,0.002651517,0.694677192,0.150262763,407,38,23,1,40,14,24,12,0.86894,0.05423
Cherokee,R180FR30,37.75633311,0.001244217,0.002513201,0.855502341,0.140740241,210.3610123,0.000838401,0.002163328,0.843274392,0.15372388,407,38,23,1,40,14,24,12,0.95393,0.049415
Cherokee,B90R90,40.51913926,0.585138587,0.004305204,0.407028479,0.003527731,180.7209008,0.491218291,0.004349866,0.499572188,0.004859656,407,38,23,1,40,14,24,12,0.57541,0.036275
Cherokee,B90R90FR30,46.11246622,0.525519279,0.003828981,0.352651571,0.118000169,213.8731614,0.424177983,0.003714942,0.417361653,0.154745422,407,38,23,1,40,14,24,12,0.85352,0.052175
